,평점,본문
58,4,아이가 좋아할 줄 알았는데로션바르는거 싫어하듯 이것도 불호라 아쉬워요액상타입보다 잘 발라졌는지 모르겠어요백탁현상이 별로 없어서 그런거 같기도요아이가 좋아할 줄 알았는데로션바르는거 싫어하듯 이것도 불호라 아쉬워요액상타입보다 잘 발라졌는지 모르겠어요백탁현상이 별로 없어서 그런거 같기도요
59,5,햇빛에 살이 많이 타기도 하고 성분도 좋다고하여 구매하게 되었어요 튜브형보다 팩트처럼 스스로 바를 수 있어 아이가 외출할때 먼저 찾고 바르려고 해요햇빛에 살이 많이 타기도 하고 성분도 좋다고하여 구매하게 되었어요 튜브형보다 팩트처럼 스스로 바를 수 있어 아이가 외출할때 먼저 찾고 바르려고 해요2개의 포토리뷰2개의 포토리뷰
60,5,아이한태 쓰려고 주문했어요 얼굴에 로션 바르기를 싫어해서 쿠션으로 주문했는데 아직 안써봤지만 잘 발렸으면 좋겠네요아이한태 쓰려고 주문했어요 얼굴에 로션 바르기를 싫어해서 쿠션으로 주문했는데 아직 안써봤지만 잘 발렸으면 좋겠네요
61,5,아이스스로 잘바름ㅋㅋ화장놀이 하는것처럼ㅋㅋ아이스스로 잘바름ㅋㅋ화장놀이 하는것처럼ㅋㅋ
62,5,재구매입니다 자극적이지 않고 좋아요재구매입니다 자극적이지 않고 좋아요
63,5,재고 입고에 오래 걸려서 아쉽긴 했지만 포장영상도 보내주시고 좋았습니다!화해보고 평이 좋아 샀는데 기대되네요재고 입고에 오래 걸려서 아쉽긴 했지만 포장영상도 보내주시고 좋았습니다!화해보고 평이 좋아 샀는데 기대되네요
64,5,배송 진짜 빠르네요배송 진짜 빠르네요
65,5,외출나갈때 간편하게 바르기 좋네요외출나갈때 간편하게 바르기 좋네요
66,5,한번 사보고 좋아서 재구했어요 안 끈쩍이고 백탁 없는데 얼굴 화사해보이고 트러블 안 일어나고 눈 안 따갑고 다 좋은데 양이 너무 작아요 원플원 행사할때 더 사둘걸 그랬어요 행사 끝한번 사보고 좋아서 재구했어요 안 끈쩍이고 백탁 없는데 얼굴 화사해보이고 트러블 안 일어나고 눈 안 따갑고 다 좋은데 양이 너무 작아요 원플원 행사할때 더 사둘걸 그랬어요 행사 끝나서 너무 아쉽네요
67,5,그전에  프랑스  다른 제품 썻는데  요게 더 좋으네요    원플원에  사은품까지 빵빵!! 든듣해요그전에  프랑스  다른 제품 썻는데  요게 더 좋으네요    원플원에  사은품까지 빵빵!! 든듣해요
68,3,배송빨랐구요 아직 밖을 나갈일이 없어서 써보진않았네요  아이가 스티거붙히고 ㅋ배송빨랐구요 아직 밖을 나갈일이 없어서 써보진않았네요  아이가 스티거붙히고 ㅋ2개의 포토리뷰2개의 포토리뷰
69,4,민감한 피부인데 확실히 순하고 사용하기 편합니다민감한 피부인데 확실히 순하고 사용하기 편합니다
70,3,자주사용하는데 가끔 많이나올때도 있어요자주사용하는데 가끔 많이나올때도 있어요
71,5,잘도착했습니다 많이파세요잘도착했습니다 많이파세요
72,5,좋아요재구매했어요좋아요재구매했어요
73,5,아이 피부도 지키며엄마 같은 쿠션타입이라아이가 좋아해요아이 피부도 지키며엄마 같은 쿠션타입이라아이가 좋아해요
74,5,냄새도 좋고 순한거 같아요 아이가 다른 썬크림은 바르면나중에 얼굴에 트러블이 났었는데 이건 괜찮아요냄새도 좋고 순한거 같아요 아이가 다른 썬크림은 바르면나중에 얼굴에 트러블이 났었는데 이건 괜찮아요
75,4,성분좋다해서 규매해봤어요실제로 자극이 없기를 바라며냄새는 좋아요성분좋다해서 규매해봤어요실제로 자극이 없기를 바라며냄새는 좋아요
76,5,믿고쓰는제품인데  원플원이라  더욱좋아요 거기에 사은품까지!!최고믿고쓰는제품인데  원플원이라  더욱좋아요 거기에 사은품까지!!최고
77,5,아이가 엄마 화장하는 흉내 내면서 바르기 좋아하네요 만족아이가 엄마 화장하는 흉내 내면서 바르기 좋아하네요 만족
78,5,남자아이인데도 스스로 톡톡 찍어바를수 있어서 좋아해요ㅎ남자아이인데도 스스로 톡톡 찍어바를수 있어서 좋아해요ㅎ
